Season,Year,Conf/Coach,Standing,Wins,Losses,AP,Coaches
2009,2009,Big 12 Conference,—,8,5,—,—
2010,2010,Big 12 Conference,1st,12,2,6,6
2011,2011,Big 12 Conference,T–3rd,10,3,16,15
2012,2012,Big 12 Conference,T–1st,10,3,15,15
2013,2013,Big 12 Conference,T–2nd,11,2,6,6
2014,2014,Big 12 Conference,T–4th,8,5,—,—
2015,2015,Big 12 Conference,1st,11,2,5,5
2016,2016,Big 12 Conference,1st,11,2,5,3
2017,2017,Coach Change,1st,12,2,3,3
2018,2018,Big 12 Conference,1st,12,2,4,4
2019,2019,Big 12 Conference,1st,12,2,7,6
