,Year,Coach,Overall,Conference,Standing,Bowl/playoffs,Coaches#,AP°,Wins,Losses
2009,2009,Stewart,9–4,5–2,T-2nd,L Gator,22,25,9,4
2010,2010,Stewart,9–4,5–2,T-1st,L Champs Sports,,,9,4
2011,2011,Holgorsen,10–3,5–2,T-1st,W Orange†,18,17,10,3
2012,2012,Holgorsen,7–6,4–5,T-5th,L Pinstripe,,,7,6
2013,2013,Holgorsen,4–8,2–7,T-7th,,,,4,8
2014,2014,Holgorsen,7–6,5-4,T-4th,L Liberty,,,7,6
2015,2015,Holgorsen,8–5,4-5,5th,W Cactus,,,8,5
2016,2016,Holgorsen,10–3,7-2,T-2nd,L Russell,17,18,10,3
2017,2017,Holgorsen,7–6,5-4,T-4th,L Heart of Dallas,,,7,6
2018,2018,Holgorsen,8–4,6-3,T-3rd,L Camping World,22,20,8,4
2019,,,,,,,,,0,0
